frame_filename,attention_label
frame_0000.jpg,ATTENTIVE
frame_0001.jpg,ATTENTIVE
frame_0002.jpg,ATTENTIVE
frame_0003.jpg,ATTENTIVE
frame_0004.jpg,ATTENTIVE
frame_0005.jpg,ATTENTIVE
frame_0006.jpg,ATTENTIVE
frame_0007.jpg,ATTENTIVE
frame_0008.jpg,ATTENTIVE
frame_0009.jpg,ATTENTIVE
frame_0010.jpg,ATTENTIVE
frame_0011.jpg,ATTENTIVE
frame_0012.jpg,ATTENTIVE
frame_0013.jpg,ATTENTIVE
frame_0014.jpg,ATTENTIVE
frame_0015.jpg,ATTENTIVE
frame_0016.jpg,ATTENTIVE
frame_0017.jpg,ATTENTIVE
frame_0018.jpg,ATTENTIVE
frame_0019.jpg,ATTENTIVE
frame_0020.jpg,ATTENTIVE
frame_0021.jpg,ATTENTIVE
frame_0022.jpg,ATTENTIVE
frame_0023.jpg,ATTENTIVE
frame_0024.jpg,ATTENTIVE
frame_0025.jpg,ATTENTIVE
frame_0026.jpg,ATTENTIVE
frame_0027.jpg,ATTENTIVE
frame_0028.jpg,ATTENTIVE
frame_0029.jpg,ATTENTIVE
frame_0030.jpg,ATTENTIVE
frame_0031.jpg,ATTENTIVE
frame_0032.jpg,ATTENTIVE
frame_0033.jpg,ATTENTIVE
frame_0034.jpg,ATTENTIVE
frame_0035.jpg,ATTENTIVE
frame_0036.jpg,ATTENTIVE
frame_0037.jpg,ATTENTIVE
frame_0038.jpg,ATTENTIVE
frame_0039.jpg,ATTENTIVE
frame_0040.jpg,ATTENTIVE
frame_0041.jpg,ATTENTIVE
frame_0042.jpg,ATTENTIVE
frame_0043.jpg,ATTENTIVE
frame_0044.jpg,ATTENTIVE
frame_0045.jpg,ATTENTIVE
frame_0046.jpg,ATTENTIVE
frame_0047.jpg,ATTENTIVE
frame_0048.jpg,ATTENTIVE
frame_0049.jpg,ATTENTIVE
frame_0050.jpg,ATTENTIVE
frame_0051.jpg,ATTENTIVE
frame_0052.jpg,ATTENTIVE
frame_0053.jpg,ATTENTIVE
frame_0054.jpg,ATTENTIVE
frame_0055.jpg,ATTENTIVE
frame_0056.jpg,ATTENTIVE
frame_0057.jpg,ATTENTIVE
frame_0058.jpg,ATTENTIVE
frame_0059.jpg,ATTENTIVE
frame_0060.jpg,ATTENTIVE
frame_0061.jpg,ATTENTIVE
frame_0062.jpg,ATTENTIVE
frame_0063.jpg,ATTENTIVE
